NO,recipe,kind
1,Pork schnitzel,dish
2,Orange & ginger stained glass biscuits,dessert
3,Black Forest gateau,dessert
4,Full of fibre,dessert
5,Russian chicken & mushroom pies with soured cream & dill,meal
6,Pot-roast pork goulash with potatoes & greens,meal
7,Cheesy Swiss bake,meal
8,Sausages with braised cabbage & caraway,meal
9,German-style cheese & bacon pancakes,meal
10,Piernik (Polish gingerbread),dessert
11,Mushroom stroganoff,meal
12,Shukhi ¡V warm beetroot & mushroom salad,salad
13,Good-for-you granola,dessert
14,Cauliflower Polonaise soup,soup
15,Stollen spirals,dessert
16,Caramelised apple & walnut strudel,dish
17,Potato rosti cakes with sage leaves,dessert
18,Stollen muffins,dessert
19,Fruity fondue,dessert
20,Spiced stollen plait,dessert
21,Easy creamy coleslaw,dish
22,Crunchy granola with berries & cherries,dessert
23,Mulled wine cocktail,dessert
24,Quick steak & mushroom stroganoff,dish
25,Apple & blueberry blintzes,dessert
26,Beef stroganoff with herby pasta,meal
27,Easy Russian salad,salad
28,Meatball stroganoff,dish
29,Stollen wreath cake,dessert
30,Goat's cheese & bacon rosti,dish
31,Polish apple cake (Szarlotka),dessert
32,Cherry vodka,dessert
33,Rosti Bolognese pie,meal
34,Choc-cherry fudge torte with cherry sorbet,dessert
35,Christmas spiced red cabbage,dish
36,Beef schnitzel,meal
37,Rosti lamb hotpot,meal
38,Tropical treat,dessert
39,Mushrooms paprikash,meal
40,Lebkuchen,dessert
41,Stollen wreath,dessert
42,Goulash in a dash,dish
43,Pork goulash with herby dumplings,meal
44,Pumpkin & pecan strudel,dessert
45,Quickie sausage goulash,dish
46,Raspberry chocolate torte,dessert
47,Gruyere & vegetable soup,soup
48,Inside-out chicken Kiev,meal
49,Apfelstrudel sidecar,dessert
50,"Pear, chocolate & marzipan strudel",dessert
51,Good-for-you granola,dessert
52,Raggmunk,dish
53,Full of fibre,dessert
54,Mince pie trees,dessert
55,Inside-out chicken Kiev,meal
56,Russian chicken & mushroom pies with soured cream & dill,meal
57,Stollen spirals,dessert
58,Rosti lamb hotpot,meal
59,Smoked trout & horseradish pate,dish
60,"Pear, chocolate & marzipan strudel",dessert
61,Gravadlax temptation,meal
62,Rosti Bolognese pie,meal
63,Quickie sausage goulash,dish
64,Sausages with braised cabbage & caraway,meal
65,Scandi smoked salmon,dish
66,Stollen wreath,dessert
67,Lingonberry & ginger cheesecake pots,dessert
68,"Smoked salmon, quinoa & dill lunch pot",meal
69,Shukhi ¡V warm beetroot & mushroom salad,salad
70,Open mackerel sandwich with fennel slaw,dish
71,Soured cream bundt cake with butter glaze,dessert
72,Scandi smoked mackerel on rye,dish
73,Scandi cheese & crackers,dessert
74,German-style cheese & bacon pancakes,meal
75,Goulash in a dash,dish
76,Smoked salmon & watercress pinwheels,dish
77,Swede temptation,dessert
78,Lebkuchen,dessert
79,Mini hasselbacks with dill,meal
80,Scandi smoked salmon potatoes,dish
81,Sweet balsamic pork with caraway slaw,meal
82,Mini creamy mushroom pies,dish
83,Creamy cucumber with gravadlax,dish
84,Citrus-cured salmon gravadlax,dish
85,Cured pollock with dill cream & radish salad,salad
86,Cauliflower Polonaise soup,soup
87,Double chocolate Easter Danish ,dessert
88,Mushroom stroganoff,meal
89,Mini schnitzels with garlic sauce,meal
90,Paprika pork,dish
91,Apfelstrudel sidecar,dessert
92,Quick steak & mushroom stroganoff,dish
93,Smoked trout pate & pitta crisps,dish
94,Scandi-style sausage hash with pickled beetroot,meal
95,Austrian hash,meal
96,Danish pastries,dessert
97,Oven-baked rosti cake,dessert
98,"Pear, nut & blackberry bircher",dessert
99,Potato & dill pancakes with gravadlax,meal
100,Spiced stollen plait,dessert
101,Blue cheese pasta,meal
102,Spaghetti with fresh tomato sauce,meal
103,Holiday pizzas,meal
104,Clams with Sherry & Serrano ham,dish
105,Speedy meatball stew,meal
106,Green salad with olive dressing,salad
107,Greek-style roast chicken,meal
108,Italian stuffed courgettes,dish
109,Raspberry sangrillinis,dessert
110,"Crostini with pea puree, rocket & broad beans",dish
111,Barcelona baguette,dish
112,Stuffed summer tomatoes,meal
113,Quick tomato risotto,meal
114,Crunchy mozzarella salad,salad
115,Marinated feta in thyme & chilli oil,salad
116,Apfelstrudel sidecar,dessert
117,"Spiced bulghar, chickpea & squash salad",salad
118,Spinach rice,meal
119,Spicy prawn pizzas,meal
120,So-simple spaghetti Bolognese,meal
121,One-pan Spanish fish stew,meal
122,Taleggio tart with walnut pastry,dessert
123,Baked cauliflower pizzaiola,dish
124,Fresh lasagne with pesto,meal
125,Mediterranean stuffed peppers,dessert
126,Focaccia with pesto & mozzarella,meal
127,Strawberry lemon sorbet,dessert
128,Brussels & blue cheese pizza,meal
129,Bresaola with rocket & artichokes,dish
130,Summer courgetti & meatballs,meal
131,"Polenta, roasted vegetables & peppered Parmesan crisps",dish
132,Creamy cucumber with gravadlax,dish
133,Gruyere & vegetable soup,soup
134,Sea bream in crazy water (Orata all¡¦acqua pazza),meal
135,"Shaved fennel, courgette & orange salad",salad
136,Balsamic braised beef,meal
137,Baked Swiss chard,dish
138,Rainbow orzo salad,salad
139,Spanish meatball & butter bean stew,dish
140,Pasta with chilli tomatoes & spinach,meal
141,Melting-middle aubergine parcels,dish
142,Torta del Nonna,dessert
143,Butternut ricotta tart with fiery rocket salad,salad
144,Courgette & ricotta tart,dessert
145,"Carrots with pine nuts, raisins & parsley",dish
146,Sausage & herb stuffed courgettes,dish
147,Tricolore tagliatelle ,meal
148,Bulghar & spinach fritters with eggs & tomato chutney,dessert
149,Griddled chicken with lemon & thyme ,meal
150,"Bean, chickpea & feta salad",salad
151,Hot passion pina coladas,dessert
152,"Parsnip, cranberry & chestnut loaf",dessert
153,Hot salmon parcel,dish
154,Caramel button cupcakes,dessert
155,Ploughman¡¦s rolls,meal
156,Chargrilled vegetable salad,salad
157,Lemon bars,dessert
158,Fettuccine with beans & pancetta,meal
159,Frosted carrot squares,dessert
160,One-pot fish with black olives & tomatoes,dish
161,Funny face cookies,dessert
162,Earl Grey teacakes,dessert
163,Devilled mackerel with potatoes & spinach,meal
164,Skinny carrot fries,dish
165,Dressed spring cabbage,dish
166,Mustard-crusted breast of lamb,meal
167,20-minute Fiorentina pizzas,meal
168,"Mustard-buttered chicken with tarragon, peas & carrots",meal
169,Mini Christmas cake,dessert
170,Shimmering forest cake,dessert
171,Sprout & chorizo carbonara,meal
172,"Cheese, tomato & pesto tart",dessert
173,Broccoli soup with crispy croutons & goat's cheese,soup
174,Pears in port with meringue cream,dessert
175,Lily¡¦s lemon cupcakes,dessert
176,Peppered plums with almond ice,dessert
177,Ploughman¡¦s omelette,meal
178,Mr McGregor¡¦s rabbit pie,dish
179,Grilled lamb & potato crush,meal
180,Apple tart 'Maman Blanc',dessert
181,Turkey breast fingers with avocado dip,dish
182,Grilled & marinated summer vegetables,dish
183,Energy bites,dessert
184,Winter vegetable pie,meal
185,"Smoked haddock, spinach & potato cakes",dish
186,"Spinach, bacon & white bean salad",salad
187,Potato pancakes,meal
188,Fruit pots,dessert
189,Trout en papillote,meal
190,Tangy trout,dish
191,Apricot conserve ,dessert
192,Cauliflower & apple soup,soup
193,Plum & amaretti semifreddo,dessert
194,Navarin d'agneau,meal
195,Freaky finger red velvet cake,dessert
196,Pancetta-wrapped turkey breast with herby lemon & pine nut stuffing,meal
197,Almond biscuits,dessert
198,Lollipop cake,dessert
199,Alice in Wonderland wedding cookies,dessert
200,Brummie bacon cakes,dessert
